customer_id,rfm_score,segment
C100004,3.0,at_risk
C100005,3.333333333333333,loyal
C100006,3.0,at_risk
C100012,1.6666666666666667,churning
C100019,1.3333333333333333,churning
C100025,1.3333333333333333,churning
C100028,1.6666666666666667,churning
C100030,3.333333333333333,loyal
C100034,2.333333333333333,at_risk
C100041,2.0,churning
C100042,2.333333333333333,at_risk
C100045,1.6666666666666667,churning
C100066,2.6666666666666665,at_risk
C100067,1.6666666666666667,churning
C100078,2.333333333333333,at_risk
C100088,1.0,churning
C100090,2.0,churning
C100095,2.6666666666666665,at_risk
C100096,2.333333333333333,at_risk
C100099,2.0,churning
C100102,3.0,at_risk
C100105,2.0,churning
C100106,3.0,at_risk
C100110,3.333333333333333,loyal
C100112,2.333333333333333,at_risk
C100113,3.0,at_risk
C100115,2.0,churning
C100121,1.6666666666666667,churning
C100123,2.333333333333333,at_risk
C100124,1.3333333333333333,churning
C100130,3.6666666666666665,loyal
C100132,2.333333333333333,at_risk
C100138,2.6666666666666665,at_risk
C100139,1.6666666666666667,churning
C100141,1.6666666666666667,churning
C100148,2.333333333333333,at_risk
C100152,2.6666666666666665,at_risk
C100154,2.333333333333333,at_risk
C100155,2.6666666666666665,at_risk
C100156,1.0,churning
C100157,2.6666666666666665,at_risk
C100159,2.333333333333333,at_risk
C100168,3.6666666666666665,loyal
C100172,2.333333333333333,at_risk
C100175,2.6666666666666665,at_risk
C100176,2.333333333333333,at_risk
C100181,2.333333333333333,at_risk
C100182,1.6666666666666667,churning
C100184,2.6666666666666665,at_risk
C100188,3.0,at_risk
C100189,3.0,at_risk
C100190,2.333333333333333,at_risk
C100198,1.3333333333333333,churning
C100199,3.0,at_risk
C100201,1.6666666666666667,churning
C100204,2.6666666666666665,at_risk
C100211,3.6666666666666665,loyal
C100218,2.6666666666666665,at_risk
C100221,2.333333333333333,at_risk
C100225,2.0,churning
C100232,3.0,at_risk
C100235,3.333333333333333,loyal
C100236,3.333333333333333,loyal
C100241,2.0,churning
C100242,1.0,churning
C100246,2.6666666666666665,at_risk
C100247,3.0,at_risk
C100253,2.0,churning
C100254,2.333333333333333,at_risk
C100256,2.0,churning
C100259,1.3333333333333333,churning
C100261,3.333333333333333,loyal
C100272,1.6666666666666667,churning
C100273,2.0,churning
C100281,3.333333333333333,loyal
C100282,2.333333333333333,at_risk
C100283,2.333333333333333,at_risk
C100284,3.333333333333333,loyal
C100285,2.0,churning
C100286,2.0,churning
C100291,1.3333333333333333,churning
C100297,2.6666666666666665,at_risk
C100298,2.333333333333333,at_risk
C100299,2.0,churning
C100301,1.3333333333333333,churning
C100305,2.0,churning
C100306,2.6666666666666665,at_risk
C100307,1.3333333333333333,churning
C100309,2.0,churning
C100311,2.6666666666666665,at_risk
C100313,3.0,at_risk
C100314,1.3333333333333333,churning
C100315,3.333333333333333,loyal
C100322,3.333333333333333,loyal
C100329,2.0,churning
C100330,2.6666666666666665,at_risk
C100331,3.0,at_risk
C100333,2.333333333333333,at_risk
C100336,2.333333333333333,at_risk
C100346,2.333333333333333,at_risk
C100347,3.0,at_risk
C100349,2.333333333333333,at_risk
C100355,2.0,churning
C100361,1.6666666666666667,churning
C100364,3.0,at_risk
C100367,2.333333333333333,at_risk
C100368,3.0,at_risk
C100369,2.6666666666666665,at_risk
